street_name,council_name,landfill_frequency,landfill_next,recycle_frequency,recycle_next,green_frequency,green_next
Charlotte Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Clarevale Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Clayton Road(North Bound Service Road),Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Clayton Road(South Bound Service Road),Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Cleary Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Crimson Grove,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Culshaw Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Deals Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Dorothy Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Durham Place,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Eileen Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Enngonia Crescent,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Ester Crescent,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Evergreen Boulevard,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Fairbank Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
First Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Frank Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Fraser Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Fury Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Gairs Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Gayle Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Gerlach Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Glencannon Crescent,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Glenelg Drive,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Glenmorgan Close,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Glenn Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Goulburn Place,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Graham Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Granville Grove,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Hadkinson Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Haughton Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Hayden Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Helena Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Hopkins Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Hoyle Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Ida Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Indigo Lane,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Ireland Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
James Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Jeanette Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Jeffrey Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Jordan Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Kallay Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Kathryn Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Keol Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Kerribree Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Kimbarra Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Kitson Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Knight Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Kombi Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Koolena Close,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Lanark Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Larado Place,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Laura Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Leslie Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Liam Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Libbett Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Lilac Way,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Linda Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Loddon Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Luton Place,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Mahala Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Main Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Mallawa Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Maltarra Lane,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Maltarra Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Manoon Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Mardi Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Mcmillan Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Melosa Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Meppel Drive,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Meriton Place,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Merlyn Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Milton Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Miranda Close,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Monash Crescent,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Moore Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Murchison Crescent,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Murdock Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Nabilla Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Narrumburn Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Nettelbeck Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Newport Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Oakes Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Olive Lane,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Olive Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Orloff Close,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Osborne Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Ostend Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Ovens Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Parsons Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Plantation Lane,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Prestige Drive,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Rayhur Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Ricki Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Rosebank Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Rosebank Lane,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Russ Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Ryans Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Sapling Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Sarah Close,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Saunders Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Scott Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Second Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Sheldon Place,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Simon Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Snowy Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Spring Valley Drive,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Springfield Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Springs Lane,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Summer Lane,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Sydney Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Sylvander Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Tadstan Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Tambo Close,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Tarago Crescent,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Tennyson Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Third Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Tippet Street,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Wannan Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Warraweena Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Watton Close,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Westall Lane,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Westall Road(North Bound Service Road),Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Whiteside Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Wordsworth Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Worsley Avenue,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Yalta Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Yongala Court,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Centre Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Clayton Road,Clayton South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Bourke Road,Oakleigh South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Bunney Road,Oakleigh South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Kelrinda Close,Oakleigh South,weekly,13/10/2023,fortnightly,20/10/2023,fortnightly,13/10/2023
Barker Street,Cheltenham,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Garfield Lane,Cheltenham,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Garfield Lane,Cheltenham,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Garfield Street,Cheltenham,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Hall Lane,Cheltenham,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Hall Street,Cheltenham,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Jean Lane,Cheltenham,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Jean Street,Cheltenham,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Maude Street,Cheltenham,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
May Lane,Cheltenham,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
May Street,Cheltenham,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Moola Court,Cheltenham,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Railway Walk,Cheltenham,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Sinclair Lane,Cheltenham,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Sinclair Street,Cheltenham,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Allwen Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Andrew Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Aurea Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Benjamin Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Beryl Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Bodley Street,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Bourke Road,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Bradley Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Bushland Avenue,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Camdale Street,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Carbine Avenue,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Casey Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Centre Lane,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Centre Lane,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Cerise Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Davanzo Avenue,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Debbie Close,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Drushi Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Dyer Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Elder Street South,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Emily Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Emo Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Fry Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Glenda Close,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Glenys Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Harris Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Hendon Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Hunt Crescent,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Imre Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Jacobs Drive,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Jacqueline Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Leslie Road,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Mack Crescent,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Mia Street,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Morgan Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Murphy Street,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Newlands Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Pamela Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Poulter Crescent,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Rashu Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Rochell Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Rosella Avenue,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Rowson Grove,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Sharra Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Sundowner Avenue,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Tammany Drive,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
Tanya Court,Clarinda,weekly,13/10/2023,fortnightly,13/10/2023,fortnightly,20/10/2023
