street_name,council_name,green_frequency,green_next,landfill_frequency,landfill_next,recycle_frequency,recycle_next
California Boulevarde,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Corymbia Circuit,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Hollywood Boulevarde,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Chanticleer Place,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Geelong Road,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Barwon Heads Service Road,Armstrong Creek,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Hillcrest Drive,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Baenschs Lane,Connewarre,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Beachwood Drive,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Santa Monica Boulevarde,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Fellows Road,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Coogee Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Barwon Heads Road Service Road,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Aguna Street,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Fulmar Grove,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Ganet Lane,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Ironbark Street,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Shearwater Grove,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Wirilda Way,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Cronulla Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Pico Avenue,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Lings Road,Connewarre,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Blackrock Road,Connewarre,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Surf Beach Road,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Cottesloe Drive,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Watermans Court,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
The Esplanade,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Inskip Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Araluen Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Saratoga Avenue,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Tremont Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Frost Mews,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Peterho Boulevarde,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Osborne Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Carr Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Lookout Road,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Governors Place,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Lockyer Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Ocean Throughway,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Huntington Court,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Baytown Close,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Sweetman Parade,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Antares Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Bluestone School Road,Connewarre,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Wallace Road,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Achenar Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Hampden Close,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Baker Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Lakeland Court,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Bowra Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Knox Drive,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Selby Close,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Galveston Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Achilles Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Osprey Close,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Orton Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Heron Court,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Kings Court,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Warrenbeen Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Wandin Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Feiglin Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Mullaway Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
The Mews,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Field Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Knowles Grove,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Loch Ard Drive,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Dare Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Culdee Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Lakes Entrance,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Aries Crescent,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Sheepwash Road,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Silver Ridge Road,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Rachel Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Fishermans Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Cockle Crescent,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Amphora Way,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Curlew Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
The Terrace,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Chiswick Court,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Crown Lane,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Affleck Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Plover Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Aquilae Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Lawrenny Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Tellin Lane,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Furneaux Close,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Roditis Drive,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Hodgson Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Cameo Lane,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Emperor Drive,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Coutta Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Derek Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Haynes Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Pelican Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Calcium Park Crescent,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
The Parade,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Minerva Close,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Altair Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Lelean Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Shell Road,Marcus Hill,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Taits Road,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Wedge Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Sea Breeze Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Heron Crescent,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Cowry Way,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Point Boulevard,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Amos Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Sunrise Close,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Windsor Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Green Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
The Avenue,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Highview Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Algol Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Mulgoa Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Ibis Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Pembroke Road,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Peers Crescent,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Bolton Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Wattlebird Crescent,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Arcturus Road,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Trevally Drive,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Whitton Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Saltbush Circuit,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Sheraton Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Coquina Drive,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Pipi Street,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Powell Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Devon Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Bonnyvale Road,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Rainbow Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Cotham Hill Road,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Dudley Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Minah Street,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Paris Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Shell Road,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Shell Road Service Road,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Hill Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Avon Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Hurst Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Caralee Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Newbay Close,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Powell Street West,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Aldebaran Road,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Midden Terrace,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Knowle Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Cosham Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Draper Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Beaver Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Sunset Strip,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Tudor Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Fellows Road,Swan Bay,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Glyndon Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Canis Crescent,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Eccles Road,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Kenton Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Briton Lane,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Nautilus Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Halibut Avenue,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Dolphin Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Parker Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Kingston Close,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Barramundi Crescent,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
River Parade,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Presidents Avenue,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Presidents Ave,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Somerdale Avenue,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Asbury Street East,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Barwon Terrace,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Minster Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Richmond Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Capella Road,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Chiton Way,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Trident Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Marlin Drive,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Guthridge Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Endeavour Drive,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Clows Lane,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Eggleston Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Newcomb Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Butters Lane,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Asbury Street West,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Karri Close,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Eddystone Court,Barwon Heads,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Epworth Street,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Fuller Lane,Connewarre,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Leon Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Corvi Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Mallaluka Avenue,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Abalone Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Triton Circuit,Point Lonsdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Warrick Court,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Battersea Rise,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Chaudenay Mews,Ocean Grove,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
