council_name,street_name,landfill_frequency,landfill_next,recycle_frequency,recycle_next,green_frequency,green_next
Mulgrave,Anfield Drive,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Anglesey Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Anora Crescent,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Anzed Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Archer Lane,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Aubyn Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Badger Place,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Baird Street,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Baldios Lane,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Bastow Place,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Batman Grove,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Beaconsfield Road,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Bellerine Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Bellevue Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Bernie Smith Street,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Bertrand Avenue,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Blanford Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Blyth Place,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Bolton Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Bramton Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Briar Grove,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Brookefield Lane,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Brookland Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Brougham Square,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Brunton Crescent,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Burley Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Cabal Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Caesar Street,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Caledonia Crescent,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Camville Road,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Caper Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Carboni Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Carson Street,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Catesby Close,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Cavenagh Boulevard,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Centurion Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Cerise Place,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Chelsea Avenue,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Cicada Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Cinder Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Clendon Road,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Clifton Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Cloverdale Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Colston Place,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Cooba Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Cooley Lane,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Cranwell Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Cresta Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Croke Park Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Cromer Crescent,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Curie Avenue,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Dalton Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Dana Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Danube Place,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Delamere Close,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Denver Crescent,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Derby Place,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Dirkala Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Dougherty Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Doull Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Dover Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Dudley Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Dunoon Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Dunoon Street,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Dunrossil Close,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Earls Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Eden Close,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Edgbaston Way,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Einstein Avenue,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Elland Place,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Ellis Park Avenue,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Elvara Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Emden Crescent,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Emily Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Empire Walk,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Enterprise Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Eva Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Everton Close,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Excelsior Circuit,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Exhibition Drive,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Faigh Street,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Fairhaven Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Fernbank Crescent,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Fife Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Fiji Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Fordholm Avenue,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Franconia Court,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
Mulgrave,Fulwood Place,fortnightly,13/10/2023,fortnightly,20/10/2023,weekly,13/10/2023
