locality_name,postcode,council_name
Highlands,3660,Mitchell Shire Council
Puckapunyal,3662,Mitchell Shire Council
Mangalore,3663,Mitchell Shire Council
Avenel,3664,Mitchell Shire Council
Locksley,3665,Strathbogie Shire Council
Tarcombe,3666,Mitchell Shire Council
Gowangardie,3669,Greater Shepparton City Council
Baddaginnie,3670,Benalla Rural City Council
Benalla,3672,Benalla Rural City Council
Broken Creek,3673,Benalla Rural City Council
Boweya,3675,Benalla Rural City Council
Wangaratta,3677,Wangaratta Rural City Council
Peechelba,3678,Moira Shire Council
Lilliput,3682,Indigo Shire Council
Chiltern,3683,Indigo Shire Council
Brimin,3685,Indigo Shire Council
Wahgunyah,3687,Indigo Shire Council
Barnawartha,3688,Indigo Shire Council
West Wodonga,3690,Wodonga City Council
Coral Bank,3691,Alpine Shire Council
Charleroi,3695,Indigo Shire Council
Tawonga,3697,Alpine Shire Council
Tawonga South,3698,Alpine Shire Council
Bogong,3699,Alpine Shire Council
Bullioh,3700,Towong Shire Council
Dartmouth,3701,East Gippsland Shire Council
Koetong,3704,Towong Shire Council
Cudgewa,3705,Towong Shire Council
Nariel Valley,3707,East Gippsland Shire Council
Tintaldra,3708,Towong Shire Council
Burrowye,3709,Towong Shire Council
Buxton,3711,Murrindindi Shire Council
Rubicon,3712,Murrindindi Shire Council
Lake Eildon,3713,Mansfield Shire Council
Acheron,3714,Murrindindi Shire Council
Ancona,3715,Mansfield Shire Council
Flowerdale,3717,Murrindindi Shire Council
Molesworth,3718,Murrindindi Shire Council
Gobur,3719,Murrindindi Shire Council
Bonnie Doon,3720,Mansfield Shire Council
Barwite,3722,Mansfield Shire Council
Archerton,3723,Benalla Rural City Council
Boxwood,3725,Benalla Rural City Council
Bungeet,3726,Benalla Rural City Council
Almonds,3727,Moira Shire Council
Boomahnoomoonah,3728,Moira Shire Council
Bathumi,3730,Moira Shire Council
Moyhu,3732,Wangaratta Rural City Council
Whitfield,3733,Wangaratta Rural City Council
Bowmans Forest,3735,Wangaratta Rural City Council
Abbeyard,3737,Alpine Shire Council
Ovens,3738,Alpine Shire Council
Eurobin,3739,Alpine Shire Council
Buckland,3740,Alpine Shire Council
Bright,3741,Alpine Shire Council
Wandiligong,3744,Alpine Shire Council
Eldorado,3746,Wangaratta Rural City Council
Beechworth,3747,Indigo Shire Council
Bruarong,3749,Indigo Shire Council
Wollert,3750,Whittlesea City Council
Woodstock,3751,Whittlesea City Council
South Morang,3752,Whittlesea City Council
Beveridge,3753,Mitchell Shire Council
Doreen,3754,Nillumbik Shire Council
Yan Yean,3755,Nillumbik Shire Council
Chintin,3756,Macedon Ranges Shire Council
Kinglake Central,3757,Murrindindi Shire Council
Heathcote Junction,3758,Mitchell Shire Council
Panton Hill,3759,Nillumbik Shire Council
Smiths Gully,3760,Nillumbik Shire Council
St Andrews,3761,Nillumbik Shire Council
Bylands,3762,Macedon Ranges Shire Council
Kinglake,3763,Murrindindi Shire Council
Tantaraboo,3764,Macedon Ranges Shire Council
Montrose,3765,Yarra Ranges Shire Council
Kalorama,3766,Yarra Ranges Shire Council
Mount Dandenong,3767,Yarra Ranges Shire Council
Coldstream,3770,Yarra Ranges Shire Council
Christmas Hills,3775,Nillumbik Shire Council
Castella,3777,Murrindindi Shire Council
Narbethong,3778,Murrindindi Shire Council
Marysville,3779,Murrindindi Shire Council
Cockatoo,3781,Cardinia Shire Council
Avonsleigh,3782,Cardinia Shire Council
Gembrook,3783,Cardinia Shire Council
Tremont,3785,Yarra Ranges Shire Council
Ferny Creek,3786,Yarra Ranges Shire Council
Sassafras,3787,Knox City Council
Olinda,3788,Yarra Ranges Shire Council
Sherbrooke,3789,Yarra Ranges Shire Council
Kallista,3791,Yarra Ranges Shire Council
The Patch,3792,Yarra Ranges Shire Council
Monbulk,3793,Yarra Ranges Shire Council
Silvan,3795,Yarra Ranges Shire Council
Mount Evelyn,3796,Yarra Ranges Shire Council
Gilderoy,3797,Yarra Ranges Shire Council
Big Pats Creek,3799,Yarra Ranges Shire Council
Endeavour Hills,3802,Casey City Council
Hallam,3803,Casey City Council
Narre Warren North,3804,Casey City Council
Narre Warren,3805,Casey City Council
Berwick,3806,Casey City Council
Beaconsfield,3807,Cardinia Shire Council
Beaconsfield Upper,3808,Cardinia Shire Council
Officer,3809,Cardinia Shire Council
Pakenham,3810,Cardinia Shire Council
Maryknoll,3812,Cardinia Shire Council
Tynong,3813,Cardinia Shire Council
Cora Lynn,3814,Cardinia Shire Council
Bunyip,3815,Cardinia Shire Council
Labertouche,3816,Baw Baw Shire Council
Athlone,3818,Baw Baw Shire Council
Bona Vista,3820,Baw Baw Shire Council
Brandy Creek,3821,Baw Baw Shire Council
Cloverlea,3822,Baw Baw Shire Council
Allambee,3823,Baw Baw Shire Council
Childers,3824,Baw Baw Shire Council
Aberfeldy,3825,Baw Baw Shire Council
Neerim,3831,Baw Baw Shire Council
Nayook,3832,Baw Baw Shire Council
Icy Creek,3833,Baw Baw Shire Council
Thorpdale,3835,Baw Baw Shire Council
Driffield,3840,Latrobe City Council
Churchill,3842,Latrobe City Council
Callignee,3844,Latrobe City Council
Hiamdale,3847,Wellington Shire Council
Sale,3850,Wellington Shire Council
Airly,3851,Wellington Shire Council
East Sale,3852,Wellington Shire Council
Glengarry,3854,Latrobe City Council
Toongabbie,3856,Latrobe City Council
Cowwarr,3857,Latrobe City Council
Dawson,3858,Wellington Shire Council
Maffra West Upper,3859,Wellington Shire Council
Boisdale,3860,Wellington Shire Council
Cobbannah,3862,East Gippsland Shire Council
Fernbank,3864,East Gippsland Shire Council
Lindenow,3865,East Gippsland Shire Council
Jumbuk,3869,Latrobe City Council
Boolarra,3870,Latrobe City Council
Allambee Reserve,3871,Baw Baw Shire Council
Gormandale,3873,Wellington Shire Council
McLoughlins Beach,3874,Wellington Shire Council
Bairnsdale,3875,East Gippsland Shire Council
Eagle Point,3878,East Gippsland Shire Council
Boole Poole,3880,East Gippsland Shire Council
Nicholson,3882,East Gippsland Shire Council
Bruthen,3885,East Gippsland Shire Council
Newmerella,3886,East Gippsland Shire Council
Lake Tyers,3887,East Gippsland Shire Council
Bendoc,3888,East Gippsland Shire Council
Bellbird Creek,3889,East Gippsland Shire Council
Buldah,3890,East Gippsland Shire Council
Genoa,3891,East Gippsland Shire Council
Mallacoota,3892,East Gippsland Shire Council
Tambo Crossing,3893,East Gippsland Shire Council
Doctors Flat,3895,East Gippsland Shire Council
Bindi,3896,East Gippsland Shire Council
Dinner Plain,3898,Alpine Shire Council
Benambra,3900,East Gippsland Shire Council
Bumberrah,3902,East Gippsland Shire Council
Swan Reach,3903,East Gippsland Shire Council
Metung,3904,East Gippsland Shire Council
Kalimna,3909,East Gippsland Shire Council
Langwarrin,3910,Frankston City Council
Langwarrin South,3911,Frankston City Council
Pearcedale,3912,Casey City Council
Tyabb,3913,Mornington Peninsula Shire Council
Hastings,3915,Mornington Peninsula Shire Council
Merricks,3916,Mornington Peninsula Shire Council
Bittern,3918,Mornington Peninsula Shire Council
Crib Point,3919,Mornington Peninsula Shire Council
Hmas Cerberus,3920,Mornington Peninsula Shire Council
Elizabeth Island,3921,Unincorporated Land (victoria)
Cowes,3922,Bass Coast Shire Council
Rhyll,3923,Bass Coast Shire Council
Cape Woolamai,3925,Bass Coast Shire Council
Balnarring,3926,Mornington Peninsula Shire Council
Somers,3927,Mornington Peninsula Shire Council
Main Ridge,3928,Mornington Peninsula Shire Council
Flinders,3929,Mornington Peninsula Shire Council
Mount Eliza,3930,Mornington Peninsula Shire Council
Mornington,3931,Mornington Peninsula Shire Council
Moorooduc,3933,Mornington Peninsula Shire Council
Mount Martha,3934,Mornington Peninsula Shire Council
Arthurs Seat,3936,Mornington Peninsula Shire Council
Red Hill,3937,Mornington Peninsula Shire Council
McCrae,3938,Mornington Peninsula Shire Council
Boneo,3939,Mornington Peninsula Shire Council
Capel Sound,3940,Mornington Peninsula Shire Council
Rye,3941,Mornington Peninsula Shire Council
Blairgowrie,3942,Mornington Peninsula Shire Council
Sorrento,3943,Mornington Peninsula Shire Council
Portsea,3944,Mornington Peninsula Shire Council
Krowera,3945,Bass Coast Shire Council
Bena,3946,South Gippsland Shire Council
Strzelecki,3950,Baw Baw Shire Council
Kongwak,3951,Bass Coast Shire Council
Trida,3953,Baw Baw Shire Council
Koonwarra,3954,South Gippsland Shire Council
Dumbalk,3956,South Gippsland Shire Council
Stony Creek,3957,South Gippsland Shire Council
Buffalo,3958,South Gippsland Shire Council
Fish Creek,3959,South Gippsland Shire Council
Bennison,3960,South Gippsland Shire Council
Agnes,3962,South Gippsland Shire Council
Port Franklin,3964,South Gippsland Shire Council
Port Welshpool,3965,South Gippsland Shire Council
Binginwarri,3966,South Gippsland Shire Council
Hedley,3967,South Gippsland Shire Council
Balook,3971,Latrobe City Council
Lynbrook,3975,Casey City Council
Hampton Park,3976,Casey City Council
Botanic Ridge,3977,Casey City Council
Cardinia,3978,Cardinia Shire Council
Almurta,3979,Bass Coast Shire Council
Tooradin,3980,Cardinia Shire Council
Heath Hill,3981,Baw Baw Shire Council
Adams Estate,3984,Bass Coast Shire Council
Nyora,3987,Baw Baw Shire Council
Mountain View,3988,Baw Baw Shire Council
Glen Forbes,3990,Bass Coast Shire Council
Bass,3991,Bass Coast Shire Council
Dalyston,3992,Bass Coast Shire Council
Anderson,3995,Bass Coast Shire Council
Inverloch,3996,Bass Coast Shire Council
